@iot.id,@iot.selfLink,FeatureOfInterest@iot.navigationLink,Datastream@iot.navigationLink,phenomenonTime,resultTime,result,resultQuality,validTime,parameters,Commit@iot.navigationLink,ylabel
432091,https://istsos.org/v4/v1.1/Observations(432091),https://istsos.org/v4/v1.1/Observations(432091)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(432091)/Datastream,2023-01-01T23:59:05Z,2023-01-01T23:59:05Z,0.2,100,,,https://istsos.org/v4/v1.1/Observations(432091)/Commit(306),mm
432092,https://istsos.org/v4/v1.1/Observations(432092),https://istsos.org/v4/v1.1/Observations(432092)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(432092)/Datastream,2023-01-02T07:31:40Z,2023-01-02T07:31:40Z,0.2,100,,,https://istsos.org/v4/v1.1/Observations(432092)/Commit(306),mm
432093,https://istsos.org/v4/v1.1/Observations(432093),https://istsos.org/v4/v1.1/Observations(432093)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(432093)/Datastream,2023-01-02T08:02:30Z,2023-01-02T08:02:30Z,0.2,100,,,https://istsos.org/v4/v1.1/Observations(432093)/Commit(306),mm
432094,https://istsos.org/v4/v1.1/Observations(432094),https://istsos.org/v4/v1.1/Observations(432094)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(432094)/Datastream,2023-01-02T08:28:55Z,2023-01-02T08:28:55Z,0.2,100,,,https://istsos.org/v4/v1.1/Observations(432094)/Commit(306),mm
432095,https://istsos.org/v4/v1.1/Observations(432095),https://istsos.org/v4/v1.1/Observations(432095)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(432095)/Datastream,2023-01-02T08:49:20Z,2023-01-02T08:49:20Z,0.2,100,,,https://istsos.org/v4/v1.1/Observations(432095)/Commit(306),mm
432096,https://istsos.org/v4/v1.1/Observations(432096),https://istsos.org/v4/v1.1/Observations(432096)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(432096)/Datastream,2023-01-02T09:17:00Z,2023-01-02T09:17:00Z,0.2,100,,,https://istsos.org/v4/v1.1/Observations(432096)/Commit(306),mm
432097,https://istsos.org/v4/v1.1/Observations(432097),https://istsos.org/v4/v1.1/Observations(432097)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(432097)/Datastream,2023-01-02T10:36:35Z,2023-01-02T10:36:35Z,0.2,100,,,https://istsos.org/v4/v1.1/Observations(432097)/Commit(306),mm
432098,https://istsos.org/v4/v1.1/Observations(432098),https://istsos.org/v4/v1.1/Observations(432098)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(432098)/Datastream,2023-01-02T11:55:10Z,2023-01-02T11:55:10Z,0.2,100,,,https://istsos.org/v4/v1.1/Observations(432098)/Commit(306),mm
432099,https://istsos.org/v4/v1.1/Observations(432099),https://istsos.org/v4/v1.1/Observations(432099)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(432099)/Datastream,2023-01-08T06:24:40Z,2023-01-08T06:24:40Z,0.2,100,,,https://istsos.org/v4/v1.1/Observations(432099)/Commit(306),mm
432100,https://istsos.org/v4/v1.1/Observations(432100),https://istsos.org/v4/v1.1/Observations(432100)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(432100)/Datastream,2023-01-08T07:32:40Z,2023-01-08T07:32:40Z,0.2,100,,,https://istsos.org/v4/v1.1/Observations(432100)/Commit(306),mm
